deviceId,category,brand,model,weightKg,condition,owner,location
EW-0101,Laptop,Acer,S10,11.18,Broken,CollectorA,Perak
EW-0102,Router,Samsung,G14,9.03,Broken,CollectorA,Perak
EW-0103,Monitor,LG,VivoX,1.77,Broken,CollectorC,Selangor
EW-0104,Printer,HP,VivoX,5.3,Damaged,CollectorA,Perak
EW-0105,TV,Acer,Note9,6.83,Damaged,CollectorB,Penang
EW-0106,Phone,Apple,G14,6.67,Battery issue,CollectorB,Perak
EW-0107,Router,Apple,G14,10.19,Screen cracked,CollectorB,Perak
EW-0108,TV,HP,Pro15,11.52,Broken,CollectorB,Penang
EW-0109,Router,LG,Pro15,7.53,Broken,CollectorA,Johor
EW-0110,Router,Asus,Note9,10.66,Battery issue,CollectorB,Kuala Lumpur
EW-0111,Monitor,Apple,Note9,12.68,Damaged,CollectorB,Perak
EW-0112,Monitor,Dell,VivoX,11.7,Working,CollectorC,Melaka
EW-0113,Tablet,Dell,S10,2.24,Damaged,CollectorA,Perak
EW-0114,Camera,Asus,Pavilion,4.88,Broken,CollectorA,Johor
EW-0115,Phone,Lenovo,Inspiron,1.16,Battery issue,CollectorB,Kuala Lumpur
EW-0116,Router,Sony,Pavilion,8.34,Working,CollectorB,Perak
EW-0117,Laptop,Lenovo,S10,7.59,Damaged,CollectorA,Selangor
EW-0118,Printer,Acer,Note9,11.63,Screen cracked,CollectorA,Melaka
EW-0119,Printer,Asus,X200,5.03,Screen cracked,CollectorC,Selangor
EW-0120,Router,Lenovo,X200,10.07,Screen cracked,CollectorA,Melaka
EW-0121,Tablet,Dell,VivoX,14.22,Battery issue,CollectorA,Selangor
EW-0122,Phone,Lenovo,Pavilion,2.01,Battery issue,CollectorA,Selangor
EW-0123,Monitor,Dell,ThinkPad,9.18,Battery issue,CollectorA,Perak
EW-0124,Camera,Sony,G14,11.68,Screen cracked,CollectorC,Johor
EW-0125,Camera,Lenovo,Inspiron,14.02,Screen cracked,CollectorA,Penang
EW-0126,Laptop,Dell,ThinkPad,13.28,Working,CollectorB,Kuala Lumpur
EW-0127,Monitor,Dell,A1,4.81,Working,CollectorC,Melaka
EW-0128,Tablet,Sony,ThinkPad,9.25,Working,CollectorA,Penang
EW-0129,Printer,Apple,A1,3.61,Screen cracked,CollectorB,Kuala Lumpur
EW-0130,Router,Samsung,Pavilion,5.32,Screen cracked,CollectorB,Selangor
EW-0131,Camera,Samsung,Note9,14.72,Broken,CollectorC,Kuala Lumpur
EW-0132,Monitor,Xiaomi,A1,5.32,Broken,CollectorC,Selangor
EW-0133,Camera,Samsung,G14,3.06,Damaged,CollectorA,Penang
EW-0134,TV,HP,VivoX,12.94,Working,CollectorC,Penang
EW-0135,Camera,Acer,VivoX,14.61,Battery issue,CollectorC,Johor
EW-0136,Router,Asus,X200,8.2,Broken,CollectorA,Kuala Lumpur
EW-0137,Router,Xiaomi,ThinkPad,5.31,Working,CollectorC,Penang
EW-0138,Tablet,Samsung,X200,12.74,Battery issue,CollectorA,Selangor
EW-0139,Phone,Asus,X200,10.2,Broken,CollectorB,Johor
EW-0140,Printer,Dell,S10,0.44,Damaged,CollectorB,Perak
EW-0141,Camera,Dell,Pavilion,4.32,Battery issue,CollectorA,Kuala Lumpur
EW-0142,Monitor,Lenovo,S10,8.27,Broken,CollectorB,Selangor
EW-0143,Tablet,Dell,ThinkPad,0.44,Screen cracked,CollectorC,Penang
EW-0144,Router,Sony,Inspiron,6.19,Battery issue,CollectorC,Kuala Lumpur
EW-0145,Monitor,Xiaomi,Inspiron,9.61,Damaged,CollectorA,Johor
EW-0146,Tablet,Lenovo,Pro15,5.22,Screen cracked,CollectorB,Kuala Lumpur
EW-0147,Laptop,LG,X200,8.9,Screen cracked,CollectorA,Selangor
EW-0148,Printer,Dell,Pavilion,6.28,Working,CollectorB,Melaka
EW-0149,Router,HP,ThinkPad,1.14,Working,CollectorA,Johor
EW-0150,Tablet,Lenovo,VivoX,11.03,Broken,CollectorB,Selangor
EW-0151,Laptop,HP,ThinkPad,3.76,Working,CollectorA,Penang
EW-0152,Monitor,Dell,X200,7.5,Screen cracked,CollectorB,Johor
EW-0153,Camera,Dell,Pro15,8.77,Working,CollectorA,Penang
EW-0154,Router,Xiaomi,G14,10.93,Battery issue,CollectorB,Kuala Lumpur
EW-0155,Router,LG,ThinkPad,11.48,Broken,CollectorC,Melaka
EW-0156,Monitor,Xiaomi,Pro15,9.06,Battery issue,CollectorC,Kuala Lumpur
EW-0157,Camera,Xiaomi,Pavilion,13.4,Damaged,CollectorB,Perak
EW-0158,Camera,Asus,G14,7.15,Working,CollectorB,Penang
EW-0159,TV,Samsung,Pavilion,7.23,Screen cracked,CollectorC,Melaka
EW-0160,Phone,Sony,VivoX,6.31,Battery issue,CollectorC,Selangor
EW-0161,TV,LG,VivoX,14.97,Battery issue,CollectorC,Johor
EW-0162,Printer,Asus,ThinkPad,2.92,Damaged,CollectorB,Perak
EW-0163,Camera,Lenovo,ThinkPad,5.26,Broken,CollectorB,Kuala Lumpur
EW-0164,Printer,Samsung,G14,14.33,Working,CollectorB,Johor
EW-0165,Printer,LG,G14,2.1,Screen cracked,CollectorC,Perak
EW-0166,Laptop,Acer,VivoX,10.77,Working,CollectorC,Selangor
EW-0167,TV,HP,VivoX,4.32,Working,CollectorA,Melaka
EW-0168,Phone,Acer,ThinkPad,2.84,Broken,CollectorA,Kuala Lumpur
EW-0169,Camera,Xiaomi,Inspiron,7.05,Damaged,CollectorA,Penang
EW-0170,Monitor,HP,Pavilion,10.13,Damaged,CollectorA,Perak
EW-0171,Laptop,Xiaomi,X200,7.19,Damaged,CollectorA,Penang
EW-0172,Phone,HP,VivoX,10.41,Working,CollectorC,Kuala Lumpur
EW-0173,Laptop,HP,VivoX,9.24,Damaged,CollectorA,Johor
EW-0174,TV,Dell,Pavilion,13.1,Working,CollectorC,Johor
EW-0175,TV,Asus,Inspiron,2.29,Broken,CollectorC,Johor
EW-0176,Camera,Samsung,ThinkPad,2.02,Battery issue,CollectorB,Perak
EW-0177,Printer,Samsung,Pro15,8.7,Working,CollectorB,Penang
EW-0178,Printer,Acer,X200,11.55,Battery issue,CollectorB,Johor
EW-0179,Monitor,Apple,X200,14.89,Battery issue,CollectorC,Selangor
EW-0180,Router,LG,Note9,12.36,Damaged,CollectorB,Penang
EW-0181,Router,Asus,A1,3.65,Working,CollectorA,Perak
EW-0182,Camera,Dell,Inspiron,3.3,Working,CollectorA,Perak
EW-0183,Tablet,LG,Pro15,6.23,Broken,CollectorA,Perak
EW-0184,Monitor,Acer,Inspiron,4.82,Battery issue,CollectorB,Selangor
EW-0185,Printer,Xiaomi,ThinkPad,13.73,Screen cracked,CollectorB,Johor
EW-0186,TV,Lenovo,S10,13.84,Broken,CollectorA,Perak
EW-0187,TV,Asus,Inspiron,3.29,Damaged,CollectorB,Penang
EW-0188,TV,Acer,Pro15,8.3,Broken,CollectorB,Johor
EW-0189,Camera,Sony,S10,12.05,Battery issue,CollectorB,Selangor
EW-0190,Tablet,Samsung,G14,8.32,Screen cracked,CollectorC,Melaka
EW-0191,Router,Asus,Pro15,7.51,Broken,CollectorB,Johor
EW-0192,Camera,Xiaomi,Inspiron,14.86,Working,CollectorC,Kuala Lumpur
EW-0193,TV,Apple,X200,0.19,Screen cracked,CollectorB,Penang
EW-0194,Router,Samsung,A1,7.96,Broken,CollectorC,Penang
EW-0195,Tablet,Dell,Pro15,9.32,Broken,CollectorB,Penang
EW-0196,TV,Dell,G14,10.28,Working,CollectorC,Melaka
EW-0197,Camera,Samsung,A1,10.56,Working,CollectorB,Johor
EW-0198,Camera,HP,A1,13.87,Broken,CollectorC,Perak
EW-0199,Tablet,Acer,S10,4.52,Screen cracked,CollectorA,Perak
EW-0200,Laptop,LG,VivoX,0.85,Battery issue,CollectorA,Kuala Lumpur
